TstPic, TstSub, Result
04.pgm,s07,s01
05.pgm,s07,s01
06.pgm,s07,s01
07.pgm,s07,s01
08.pgm,s07,s01
09.pgm,s07,s01
10.pgm,s07,s01
04.pgm,s08,s01
05.pgm,s08,s01
06.pgm,s08,s01
07.pgm,s08,s01
08.pgm,s08,s01
09.pgm,s08,s01
10.pgm,s08,s01
04.pgm,s09,s01
05.pgm,s09,s01
06.pgm,s09,s01
07.pgm,s09,s01
08.pgm,s09,s01
09.pgm,s09,s01
10.pgm,s09,s01
04.pgm,s10,s01
05.pgm,s10,s01
06.pgm,s10,s01
07.pgm,s10,s01
08.pgm,s10,s01
09.pgm,s10,s01
10.pgm,s10,s01
04.pgm,s11,s01
05.pgm,s11,s01
06.pgm,s11,s01
07.pgm,s11,s01
08.pgm,s11,s01
09.pgm,s11,s01
10.pgm,s11,s01
04.pgm,s12,s01
05.pgm,s12,s01
06.pgm,s12,s01
07.pgm,s12,s01
08.pgm,s12,s01
09.pgm,s12,s01
10.pgm,s12,s01
04.pgm,s13,s01
05.pgm,s13,s01
06.pgm,s13,s01
07.pgm,s13,s01
08.pgm,s13,s01
09.pgm,s13,s01
10.pgm,s13,s01
04.pgm,s14,s01
05.pgm,s14,s01
06.pgm,s14,s01
07.pgm,s14,s01
08.pgm,s14,s01
09.pgm,s14,s01
10.pgm,s14,s01
04.pgm,s15,s01
05.pgm,s15,s01
06.pgm,s15,s01
07.pgm,s15,s01
08.pgm,s15,s01
09.pgm,s15,s01
10.pgm,s15,s01
04.pgm,s16,s01
05.pgm,s16,s01
06.pgm,s16,s01
07.pgm,s16,s01
08.pgm,s16,s01
09.pgm,s16,s01
10.pgm,s16,s01
04.pgm,s17,s01
05.pgm,s17,s01
06.pgm,s17,s01
07.pgm,s17,s01
08.pgm,s17,s01
09.pgm,s17,s01
10.pgm,s17,s01
04.pgm,s18,s01
05.pgm,s18,s01
06.pgm,s18,s01
07.pgm,s18,s01
08.pgm,s18,s01
09.pgm,s18,s01
10.pgm,s18,s01
04.pgm,s19,s01
05.pgm,s19,s01
06.pgm,s19,s01
07.pgm,s19,s01
08.pgm,s19,s01
09.pgm,s19,s01
10.pgm,s19,s01
04.pgm,s20,s01
05.pgm,s20,s01
06.pgm,s20,s01
07.pgm,s20,s01
08.pgm,s20,s01
09.pgm,s20,s01
10.pgm,s20,s01
04.pgm,s21,s01
05.pgm,s21,s01
06.pgm,s21,s01
07.pgm,s21,s01
08.pgm,s21,s01
09.pgm,s21,s01
10.pgm,s21,s01
04.pgm,s22,s01
05.pgm,s22,s01
06.pgm,s22,s01
07.pgm,s22,s01
08.pgm,s22,s01
09.pgm,s22,s01
10.pgm,s22,s01
04.pgm,s23,s01
05.pgm,s23,s01
06.pgm,s23,s01
07.pgm,s23,s01
08.pgm,s23,s01
09.pgm,s23,s01
10.pgm,s23,s01
04.pgm,s24,s01
05.pgm,s24,s01
06.pgm,s24,s01
07.pgm,s24,s01
08.pgm,s24,s01
09.pgm,s24,s01
10.pgm,s24,s01
04.pgm,s25,s01
05.pgm,s25,s01
06.pgm,s25,s01
07.pgm,s25,s01
08.pgm,s25,s01
09.pgm,s25,s01
10.pgm,s25,s01
04.pgm,s26,s01
05.pgm,s26,s01
06.pgm,s26,s01
07.pgm,s26,s01
08.pgm,s26,s01
09.pgm,s26,s01
10.pgm,s26,s01
04.pgm,s27,s01
05.pgm,s27,s01
06.pgm,s27,s01
07.pgm,s27,s01
08.pgm,s27,s01
09.pgm,s27,s01
10.pgm,s27,s01
04.pgm,s28,s01
05.pgm,s28,s01
06.pgm,s28,s01
07.pgm,s28,s01
08.pgm,s28,s01
09.pgm,s28,s01
10.pgm,s28,s01
04.pgm,s29,s01
05.pgm,s29,s01
06.pgm,s29,s01
07.pgm,s29,s01
08.pgm,s29,s01
09.pgm,s29,s01
10.pgm,s29,s01
04.pgm,s30,s01
05.pgm,s30,s01
06.pgm,s30,s01
07.pgm,s30,s01
08.pgm,s30,s01
09.pgm,s30,s01
10.pgm,s30,s01
04.pgm,s31,s01
05.pgm,s31,s01
06.pgm,s31,s01
07.pgm,s31,s01
08.pgm,s31,s01
09.pgm,s31,s01
10.pgm,s31,s01
04.pgm,s32,s01
05.pgm,s32,s01
06.pgm,s32,s01
07.pgm,s32,s01
08.pgm,s32,s01
09.pgm,s32,s01
10.pgm,s32,s01
04.pgm,s33,s01
05.pgm,s33,s01
06.pgm,s33,s01
07.pgm,s33,s01
08.pgm,s33,s01
09.pgm,s33,s01
10.pgm,s33,s01
04.pgm,s34,s01
05.pgm,s34,s01
06.pgm,s34,s01
07.pgm,s34,s01
08.pgm,s34,s01
09.pgm,s34,s01
10.pgm,s34,s01
04.pgm,s35,s01
05.pgm,s35,s01
06.pgm,s35,s01
07.pgm,s35,s01
08.pgm,s35,s01
09.pgm,s35,s01
10.pgm,s35,s01
04.pgm,s36,s01
05.pgm,s36,s01
06.pgm,s36,s01
07.pgm,s36,s01
08.pgm,s36,s01
09.pgm,s36,s01
10.pgm,s36,s01
04.pgm,s37,s01
05.pgm,s37,s01
06.pgm,s37,s01
07.pgm,s37,s01
08.pgm,s37,s01
09.pgm,s37,s01
10.pgm,s37,s01
04.pgm,s38,s01
05.pgm,s38,s01
06.pgm,s38,s01
07.pgm,s38,s01
08.pgm,s38,s01
09.pgm,s38,s01
10.pgm,s38,s01
04.pgm,s39,s01
05.pgm,s39,s01
06.pgm,s39,s01
07.pgm,s39,s01
08.pgm,s39,s01
09.pgm,s39,s01
10.pgm,s39,s01
04.pgm,s40,s01
05.pgm,s40,s01
06.pgm,s40,s01
07.pgm,s40,s01
08.pgm,s40,s01
09.pgm,s40,s01
10.pgm,s40,s01
_zpaq
04.pgm,s01,s05
05.pgm,s01,s05
06.pgm,s01,s05
07.pgm,s01,s05
08.pgm,s01,s29
09.pgm,s01,s30
10.pgm,s01,s37
04.pgm,s02,s02
05.pgm,s02,s02
06.pgm,s02,s02
07.pgm,s02,s05
08.pgm,s02,s13
09.pgm,s02,s02
10.pgm,s02,s14
04.pgm,s03,s37
05.pgm,s03,s12
06.pgm,s03,s38
07.pgm,s03,s23
08.pgm,s03,s18
09.pgm,s03,s17
10.pgm,s03,s09
04.pgm,s04,s40
05.pgm,s04,s25
06.pgm,s04,s18
07.pgm,s04,s25
08.pgm,s04,s12
09.pgm,s04,s02
10.pgm,s04,s03
04.pgm,s05,s34
05.pgm,s05,s25
06.pgm,s05,s18
07.pgm,s05,s01
08.pgm,s05,s17
09.pgm,s05,s23
10.pgm,s05,s12
04.pgm,s06,s34
05.pgm,s06,s18
06.pgm,s06,s04
07.pgm,s06,s20
08.pgm,s06,s09
09.pgm,s06,s15
10.pgm,s06,s15
04.pgm,s07,s13
05.pgm,s07,s04
06.pgm,s07,s18
07.pgm,s07,s20
08.pgm,s07,s19
09.pgm,s07,s20
10.pgm,s07,s10
04.pgm,s08,s20
05.pgm,s08,s08
06.pgm,s08,s08
07.pgm,s08,s05
08.pgm,s08,s12
09.pgm,s08,s08
10.pgm,s08,s08
04.pgm,s09,s40
05.pgm,s09,s40
06.pgm,s09,s04
07.pgm,s09,s38
08.pgm,s09,s38
09.pgm,s09,s34
10.pgm,s09,s03
04.pgm,s10,s10
05.pgm,s10,s40
06.pgm,s10,s40
07.pgm,s10,s23
08.pgm,s10,s23
09.pgm,s10,s23
10.pgm,s10,s19
04.pgm,s11,s20
05.pgm,s11,s20
06.pgm,s11,s02
07.pgm,s11,s20
08.pgm,s11,s02
09.pgm,s11,s02
10.pgm,s11,s12
04.pgm,s12,s26
05.pgm,s12,s12
06.pgm,s12,s04
07.pgm,s12,s40
08.pgm,s12,s25
09.pgm,s12,s03
10.pgm,s12,s20
04.pgm,s13,s13
05.pgm,s13,s04
06.pgm,s13,s02
07.pgm,s13,s09
08.pgm,s13,s04
09.pgm,s13,s29
10.pgm,s13,s05
04.pgm,s14,s05
05.pgm,s14,s05
06.pgm,s14,s10
07.pgm,s14,s26
08.pgm,s14,s04
09.pgm,s14,s05
10.pgm,s14,s14
04.pgm,s15,s19
05.pgm,s15,s05
06.pgm,s15,s20
07.pgm,s15,s20
08.pgm,s15,s05
09.pgm,s15,s20
10.pgm,s15,s05
04.pgm,s16,s37
05.pgm,s16,s37
06.pgm,s16,s18
07.pgm,s16,s19
08.pgm,s16,s18
09.pgm,s16,s05
10.pgm,s16,s19
04.pgm,s17,s19
05.pgm,s17,s05
06.pgm,s17,s19
07.pgm,s17,s02
08.pgm,s17,s05
09.pgm,s17,s05
10.pgm,s17,s13
04.pgm,s18,s18
05.pgm,s18,s40
06.pgm,s18,s19
07.pgm,s18,s19
08.pgm,s18,s26
09.pgm,s18,s09
10.pgm,s18,s13
04.pgm,s19,s32
05.pgm,s19,s06
06.pgm,s19,s06
07.pgm,s19,s32
08.pgm,s19,s01
09.pgm,s19,s02
10.pgm,s19,s02
04.pgm,s20,s19
05.pgm,s20,s18
06.pgm,s20,s02
07.pgm,s20,s18
08.pgm,s20,s05
09.pgm,s20,s01
10.pgm,s20,s05
04.pgm,s21,s18
05.pgm,s21,s18
06.pgm,s21,s04
07.pgm,s21,s05
08.pgm,s21,s10
09.pgm,s21,s05
10.pgm,s21,s10
04.pgm,s22,s05
05.pgm,s22,s19
06.pgm,s22,s01
07.pgm,s22,s01
08.pgm,s22,s05
09.pgm,s22,s05
10.pgm,s22,s05
04.pgm,s23,s05
05.pgm,s23,s19
06.pgm,s23,s05
07.pgm,s23,s10
08.pgm,s23,s17
09.pgm,s23,s38
10.pgm,s23,s38
04.pgm,s24,s19
05.pgm,s24,s05
06.pgm,s24,s05
07.pgm,s24,s05
08.pgm,s24,s05
09.pgm,s24,s05
10.pgm,s24,s19
04.pgm,s25,s09
05.pgm,s25,s01
06.pgm,s25,s26
07.pgm,s25,s12
08.pgm,s25,s12
09.pgm,s25,s10
10.pgm,s25,s18
04.pgm,s26,s26
05.pgm,s26,s12
06.pgm,s26,s26
07.pgm,s26,s18
08.pgm,s26,s40
09.pgm,s26,s25
10.pgm,s26,s12
04.pgm,s27,s13
05.pgm,s27,s27
06.pgm,s27,s05
07.pgm,s27,s10
08.pgm,s27,s12
09.pgm,s27,s18
10.pgm,s27,s20
04.pgm,s28,s05
05.pgm,s28,s05
06.pgm,s28,s26
07.pgm,s28,s05
08.pgm,s28,s28
09.pgm,s28,s05
10.pgm,s28,s28
04.pgm,s29,s02
05.pgm,s29,s05
06.pgm,s29,s02
07.pgm,s29,s05
08.pgm,s29,s07
09.pgm,s29,s04
10.pgm,s29,s02
04.pgm,s30,s30
05.pgm,s30,s30
06.pgm,s30,s19
07.pgm,s30,s01
08.pgm,s30,s07
09.pgm,s30,s10
10.pgm,s30,s05
04.pgm,s31,s05
05.pgm,s31,s05
06.pgm,s31,s19
07.pgm,s31,s40
08.pgm,s31,s19
09.pgm,s31,s23
10.pgm,s31,s05
04.pgm,s32,s05
05.pgm,s32,s05
06.pgm,s32,s18
07.pgm,s32,s05
08.pgm,s32,s19
09.pgm,s32,s19
10.pgm,s32,s20
04.pgm,s33,s19
05.pgm,s33,s02
06.pgm,s33,s05
07.pgm,s33,s05
08.pgm,s33,s05
09.pgm,s33,s05
10.pgm,s33,s05
04.pgm,s34,s13
05.pgm,s34,s34
06.pgm,s34,s34
07.pgm,s34,s37
08.pgm,s34,s03
09.pgm,s34,s15
10.pgm,s34,s34
04.pgm,s35,s19
05.pgm,s35,s29
06.pgm,s35,s19
07.pgm,s35,s01
08.pgm,s35,s05
09.pgm,s35,s19
10.pgm,s35,s03
04.pgm,s36,s19
05.pgm,s36,s05
06.pgm,s36,s05
07.pgm,s36,s20
08.pgm,s36,s30
09.pgm,s36,s05
10.pgm,s36,s02
04.pgm,s37,s05
05.pgm,s37,s05
06.pgm,s37,s05
07.pgm,s37,s05
08.pgm,s37,s13
09.pgm,s37,s05
10.pgm,s37,s20
04.pgm,s38,s25
05.pgm,s38,s21
06.pgm,s38,s38
07.pgm,s38,s05
08.pgm,s38,s17
09.pgm,s38,s25
10.pgm,s38,s23
04.pgm,s39,s05
05.pgm,s39,s18
06.pgm,s39,s05
07.pgm,s39,s20
08.pgm,s39,s06
09.pgm,s39,s20
10.pgm,s39,s05
04.pgm,s40,s38
05.pgm,s40,s40
06.pgm,s40,s05
07.pgm,s40,s25
08.pgm,s40,s02
09.pgm,s40,s12
10.pgm,s40,s12
_ppmd
04.pgm,s01,s01
05.pgm,s01,s01
06.pgm,s01,s01
07.pgm,s01,s01
08.pgm,s01,s01
09.pgm,s01,s01
10.pgm,s01,s01
04.pgm,s02,s01
05.pgm,s02,s01
06.pgm,s02,s01
07.pgm,s02,s01
08.pgm,s02,s01
09.pgm,s02,s01
10.pgm,s02,s01
04.pgm,s03,s01
05.pgm,s03,s01
06.pgm,s03,s01
07.pgm,s03,s01
08.pgm,s03,s01
09.pgm,s03,s01
10.pgm,s03,s01
04.pgm,s04,s01
05.pgm,s04,s01
06.pgm,s04,s01
07.pgm,s04,s01
08.pgm,s04,s01
09.pgm,s04,s01
10.pgm,s04,s01
04.pgm,s05,s01
05.pgm,s05,s01
06.pgm,s05,s01
07.pgm,s05,s01
08.pgm,s05,s01
09.pgm,s05,s01
10.pgm,s05,s01
04.pgm,s06,s01
05.pgm,s06,s01
06.pgm,s06,s01
07.pgm,s06,s01
08.pgm,s06,s01
09.pgm,s06,s01
10.pgm,s06,s01
04.pgm,s07,s01
05.pgm,s07,s01
06.pgm,s07,s01
07.pgm,s07,s01
08.pgm,s07,s01
09.pgm,s07,s01
10.pgm,s07,s01
04.pgm,s08,s01
05.pgm,s08,s01
06.pgm,s08,s01
07.pgm,s08,s01
08.pgm,s08,s01
09.pgm,s08,s01
10.pgm,s08,s01
04.pgm,s09,s01
05.pgm,s09,s01
06.pgm,s09,s01
07.pgm,s09,s01
08.pgm,s09,s01
09.pgm,s09,s01
10.pgm,s09,s01
04.pgm,s10,s01
05.pgm,s10,s01
06.pgm,s10,s01
07.pgm,s10,s01
08.pgm,s10,s01
09.pgm,s10,s01
10.pgm,s10,s01
04.pgm,s11,s01
05.pgm,s11,s01
06.pgm,s11,s01
07.pgm,s11,s01
08.pgm,s11,s01
09.pgm,s11,s01
10.pgm,s11,s01
04.pgm,s12,s01
05.pgm,s12,s01
06.pgm,s12,s01
07.pgm,s12,s01
08.pgm,s12,s01
09.pgm,s12,s01
10.pgm,s12,s01
04.pgm,s13,s01
05.pgm,s13,s01
06.pgm,s13,s01
07.pgm,s13,s01
08.pgm,s13,s01
09.pgm,s13,s01
10.pgm,s13,s01
04.pgm,s14,s01
05.pgm,s14,s01
06.pgm,s14,s01
07.pgm,s14,s01
08.pgm,s14,s01
09.pgm,s14,s01
10.pgm,s14,s01
04.pgm,s15,s01
05.pgm,s15,s01
06.pgm,s15,s01
07.pgm,s15,s01
08.pgm,s15,s01
09.pgm,s15,s01
10.pgm,s15,s01
04.pgm,s16,s01
05.pgm,s16,s01
06.pgm,s16,s01
07.pgm,s16,s01
08.pgm,s16,s01
09.pgm,s16,s01
10.pgm,s16,s01
04.pgm,s17,s01
05.pgm,s17,s01
06.pgm,s17,s01
07.pgm,s17,s01
08.pgm,s17,s01
09.pgm,s17,s01
10.pgm,s17,s01
04.pgm,s18,s01
05.pgm,s18,s01
06.pgm,s18,s01
07.pgm,s18,s01
08.pgm,s18,s01
09.pgm,s18,s01
10.pgm,s18,s01
04.pgm,s19,s01
05.pgm,s19,s01
06.pgm,s19,s01
07.pgm,s19,s01
08.pgm,s19,s01
09.pgm,s19,s01
10.pgm,s19,s01
04.pgm,s20,s01
05.pgm,s20,s01
06.pgm,s20,s01
07.pgm,s20,s01
08.pgm,s20,s01
09.pgm,s20,s01
10.pgm,s20,s01
04.pgm,s21,s01
05.pgm,s21,s01
06.pgm,s21,s01
07.pgm,s21,s01
08.pgm,s21,s01
09.pgm,s21,s01
10.pgm,s21,s01
04.pgm,s22,s01
05.pgm,s22,s01
06.pgm,s22,s01
07.pgm,s22,s01
08.pgm,s22,s01
09.pgm,s22,s01
10.pgm,s22,s01
04.pgm,s23,s01
05.pgm,s23,s01
06.pgm,s23,s01
07.pgm,s23,s01
08.pgm,s23,s01
09.pgm,s23,s01
10.pgm,s23,s01
04.pgm,s24,s01
05.pgm,s24,s01
06.pgm,s24,s01
07.pgm,s24,s01
08.pgm,s24,s01
09.pgm,s24,s01
10.pgm,s24,s01
04.pgm,s25,s01
05.pgm,s25,s01
06.pgm,s25,s01
07.pgm,s25,s01
08.pgm,s25,s01
09.pgm,s25,s01
10.pgm,s25,s01
04.pgm,s26,s01
05.pgm,s26,s01
06.pgm,s26,s01
07.pgm,s26,s01
08.pgm,s26,s01
09.pgm,s26,s01
10.pgm,s26,s01
04.pgm,s27,s01
05.pgm,s27,s01
06.pgm,s27,s01
07.pgm,s27,s01
08.pgm,s27,s01
09.pgm,s27,s01
10.pgm,s27,s01
04.pgm,s28,s01
05.pgm,s28,s01
06.pgm,s28,s01
07.pgm,s28,s01
08.pgm,s28,s01
09.pgm,s28,s01
10.pgm,s28,s01
04.pgm,s29,s01
05.pgm,s29,s01
06.pgm,s29,s01
07.pgm,s29,s01
08.pgm,s29,s01
09.pgm,s29,s01
10.pgm,s29,s01
04.pgm,s30,s01
05.pgm,s30,s01
06.pgm,s30,s01
07.pgm,s30,s01
08.pgm,s30,s01
09.pgm,s30,s01
10.pgm,s30,s01
04.pgm,s31,s01
05.pgm,s31,s01
06.pgm,s31,s01
07.pgm,s31,s01
08.pgm,s31,s01
09.pgm,s31,s01
10.pgm,s31,s01
04.pgm,s32,s01
05.pgm,s32,s01
06.pgm,s32,s01
07.pgm,s32,s01
08.pgm,s32,s01
09.pgm,s32,s01
10.pgm,s32,s01
04.pgm,s33,s01
05.pgm,s33,s01
06.pgm,s33,s01
07.pgm,s33,s01
08.pgm,s33,s01
09.pgm,s33,s01
10.pgm,s33,s01
04.pgm,s34,s01
05.pgm,s34,s01
06.pgm,s34,s01
07.pgm,s34,s01
08.pgm,s34,s01
09.pgm,s34,s01
10.pgm,s34,s01
04.pgm,s35,s01
05.pgm,s35,s01
06.pgm,s35,s01
07.pgm,s35,s01
08.pgm,s35,s01
09.pgm,s35,s01
10.pgm,s35,s01
04.pgm,s36,s01
05.pgm,s36,s01
06.pgm,s36,s01
07.pgm,s36,s01
08.pgm,s36,s01
09.pgm,s36,s01
10.pgm,s36,s01
04.pgm,s37,s01
05.pgm,s37,s01
06.pgm,s37,s01
07.pgm,s37,s01
08.pgm,s37,s01
09.pgm,s37,s01
10.pgm,s37,s01
04.pgm,s38,s01
05.pgm,s38,s01
06.pgm,s38,s01
07.pgm,s38,s01
08.pgm,s38,s01
09.pgm,s38,s01
10.pgm,s38,s01
04.pgm,s39,s01
05.pgm,s39,s01
06.pgm,s39,s01
07.pgm,s39,s01
08.pgm,s39,s01
09.pgm,s39,s01
10.pgm,s39,s01
04.pgm,s40,s01
05.pgm,s40,s01
06.pgm,s40,s01
07.pgm,s40,s01
08.pgm,s40,s01
09.pgm,s40,s01
10.pgm,s40,s01
